LABORATORIO,INDIRIZZO,COMUNE,LATITUDINE,LONGITUDINE
A.O. ORDINE MAURIZIANO DI TORINO - LABORATORIO,Largo Turati 62,Torino,45.05045,7.66569
AO CITTÀ DELLA SALUTE E DELLA SCIENZA DI TORINO - PRESIDIO MOLINETTE S.C. MICROBIOLOGIA E VIROLOGIA U,Corso Bramante 88/90,Torino, 45.04161,7.67452
AO S. CROCE E CARLE DI CUNEO- LABORATORIO DI MICROBIOLOGIA E VIROLOGIA,Via A. Carle 5,frazione Confreria, 44.39110,7.52015
AO SS. ANTONIO E BIAGIO E C. ARRIGO  S.C. MICROBIOLOGIA E VIROLOGIA,Via Venezia 16,Alessandria,44.91528,8.62105
AOU MAGGIORE DELLA CARITÀ - LABORATORIO MICROBIOLOGIA E VIROLOGIA,Corso Mazzini 18,Novara,45.44401,8.62250
AOU SAN LUIGI GONZAGA - LABORATORIO ANALISI,Regione Gonzole,Orbassano,45.02916,7.56091
ASL AL - OSPEDALE SS ANTONIO E MARGHERITA - LABORATORIO ANALISI,Piazza Cavallotti  7,Tortona, 44.89375,8.86260
ASL AT - OSPEDALE CARDINAL MASSAIA- LABORATORIO ANALISI,C.so Dante Alighieri,Asti,44.91327,8.19527
ASL BI - NUOVO OSPEDALE DEGLI INFERMI - LABORATORIO ANALISI,Via dei Ponderanesi,Ponderano,45.54408,8.06221
ASL CITTÀ DI TORINO - LABORATORIO DI MICROBIOLOGIA E VIROLOGIA OSPEDALE AMEDEO DI SAVOIA,C.so Svizzera 164,Torino,45.08889,7.65953
ASL NO - LABORATORIO ANALISI OSPEDALE SS. TRINITÀ,viale Zoppis 10,Borgomanero,45.70460,8.45841
ASL TO 3 - OSPEDALE DI RIVOLI  LABORATORIO ANALISI,Via Rivalta 29,Rivoli,45.05968,7.51905
ASL TO 4- OSPEDALE DI IVREA - LABORATORIO ANALISI,Piazza Credenza 2,Ivrea,45.46678,7.87260
ASL VC - OSPEDALE S. ANDREA - LABORATORIO ANALISI,Corso Mario Abbiate 21,Vercelli,45.31776,8.41441
ASL VCO - OSPEDALE CASTELLI VERBANIA - LABORATORIO ANALISI,Via Fiume 18,Verbania,45.92717,8.54897
C.D.C. S.P.A.,Via San Remo 3 bis,Torino,45.03640,7.63905
CENTRO REGIONALE ANTIDOPING,Regione Gonzole,Orbassano,45.03064,7.55927
IRCCS DI CANDIOLO,SP142  km 3,Candiolo,44.96778,7.56691
L.A.M.A.T.  S.R.L.,via Cibrario 53,Torino,45.08021,7.65925
L.A.R.C. S.P.A.,C.so Venezia 10/A,Torino,45.09247,7.68007
LAB. MEDICO ANALISI C. BATTISTI DI TESTA ELIO E C. S.A.S.,Via C. Battisti 12,Chieri,45.00789,7.82495
LABORATORIO ANALISI OSPEDALE GRADENIGO,C.so Regina Margherita 8/10,Torino,45.06946,7.70620
LABORATORIO OSPEDALE COTTOLENGO,Via Cottolengo 9,Torino,45.07860,7.68155
PRO INFANTIA OSPEDALE KOELLIKER S.P.A.,C.so G. Ferraris 255,Torino,45.04134,7.65454
ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLA REGIONE PIEMONTE,Via Bologna 148,Torino,45.08616,7.70407
AGENZIA REGIONALE PER LA PROTEZIONE AMBIENTALE,via Pio VII 9,Torino,45.02937,7.65493
UNIVERSITÀ DEGLI STUDI DEL PIEMONTE ORIENTALE AMEDEO AVOGADRO,via Solaroli 17,Novara,45.44408,8.61970
IRM INDAGINI RICERCHE MEDICHE S.R.L.,Via Torino 19,Pianezza,45.09509,7.55637
LIFEBRAIN PIEMONTE S.R.L.,Via Carducci 13,Ovada, 44.63900,8.64223
LIFEBRAIN PIEMONTE S.R.L.,Via Piemonte 32,Strambino,45.38216,7.88318
LIFEBRAIN PIEMONTE S.R.L.,Via Salvo D¡¯Acquisto 108,Acqui Terme,44.67201,8.46672
LIFEBRAIN PIEMONTE S.R.L.,Via Bonardi 25,Alessandria,44.89934,8.60404
LIFEBRAIN PIEMONTE S.R.L.,Via Canonico Zuffi 5,Valenza,45.01140,8.64481
RAFFAELLO S.R.L.,Corso Raffaello 17/G,Torino,45.05178,7.67792
SANTA CROCE S.R.L. POLIAMBULATORIO STATUTO,Piazza Statuto 3,Torino,45.07535,7.67214
SANTA CROCE S.R.L. POLIAMBULATORIO STATUTO,"Via Paschero 40, Cafasse","Unione Montana di Comuni delle Valli di Lanzo, Ceronda e Casternone",45.25421,7.51015
CASA DI CURA CELLINI S.P.A.,Via B. Cellini 5,Torino,45.04440,7.67032
STUDIO MEDICO MIRAFIORI S.R.L.,S.da Basse del Lingotto 19/A,Torino,45.02357,7.65229
HABILITA S.P.A. CASA DI CURA PRIVATA VILLA IGEA,S.da Moirano 2,Acqui Terme,44.68185,8.46866
HABILITA S.P.A. CASA DI CURA PRIVATA I CEDRI,L.go Don Guanella 1,Fara Novarese,45.55804,8.46105
ISTITUTO AUXOLOGICO ITALIANO OSPEDALE SAN GIUSEPPE VILLA CARAMORA,C.so Mameli 199,Verbania,45.93678,8.57729
ICS MAUGERI S.P.A. S B,Via Revislate 13,Gattico-Veruno,45.69359,8.53547
LABORATORIO ANALISI S. MARIA DI QUAGLIA DR. WALTER,Via F. Cavallotti 136,Novi Ligure,44.76561,8.78810
MEDICAL S.R.L.,Corso Cento Cannoni 18,Alessandria,44.90927,8.61754
FLEMING RESEARCH S.R.L.,Via Dante Alighieri 43/A,Novara,45.45274,8.61903
FLEMING RESEARCH S.R.L.,Via Della Repubblica 6,Biella,45.56398,8.05981
FLEMING RESEARCH S.R.L.,Via Monte Pasubio 32,Arona,45.75426,8.54781
