Tipo,Valore
Segnalazioni totali,2078
Accettate,1878
Attivita culturali e ricreative,146
Bollettino,905
Consegne e commissioni,395
Contatti utili,75
Dati utili,7
Didattica a distanza e-learning,76
Donazioni beni e offerte servizi,164
Donne,54
Fake News,56
Fonti istituzionali,121
Giochi/intrattenimento bambini,31
Notizie Utili,360
Posizione da verificare,1
Posizione mancante,6
Raccolte fondi,297
Richiesta aiuto,90
Sanimapp,167
Servizi e iniziative solidali private,561
Servizi e iniziative solidali pubbliche,245
Sostegno lavoro e imprese,48
Stranieri,259
Supporto psicologico,230
form,1486
